RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x19) = 0x1e255aed5d0L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x40) = 0x1e255aea350L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae34d0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aea350L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aea530L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed5d0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0xb0) = 0x1e255ad1840L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x38) = 0x1e255ae8030L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x38) = 0x1e255ae8d30L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826240L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826240L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x38) = 0x1e255ae7fb0L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aec320L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598263c0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598263c0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x38) = 0x1e255ae7ff0L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x48) = 0x1e255aea120L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e259826270L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae3450L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e2598263f0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e255d0cdd0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826480L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e2598263c0L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x100) = 0x1e255d0c550L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x28) = 0x1e259826240L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826240L) = 0x1
